,consumed_rate,generated_rate,marginal_rate
2019-01-02 11:45:00,577.5317356,53.84903324,105.6069453
2019-01-02 12:00:00,570.9432739,53.99593628,110.9274831
2019-01-02 12:15:00,570.9432739,54.12655548,0
2019-01-02 12:30:00,570.9432739,53.97472501,14.84363202
2019-01-02 12:45:00,570.9432739,52.44043733,3.515597058
2019-01-02 13:00:00,541.0088611,50.95947794,0
2019-01-02 13:15:00,541.0088611,46.0841453,349.6968037
2019-01-02 13:30:00,541.0088611,46.01926734,5.752488257
2019-01-02 13:45:00,541.0088611,44.82593549,2.47393867
2019-01-02 14:00:00,538.0130266,45.1517085,32.65864575
2019-01-02 14:15:00,538.0130266,41.89747544,1.151661105
2019-01-02 14:30:00,538.0130266,39.9289338,23.82542343
2019-01-02 14:45:00,538.0130266,39.23912735,26.71230059
2019-01-02 15:00:00,523.6487638,39.0875767,8.654113237
2019-01-02 15:15:00,523.6487638,37.76113362,26.71347739
2019-01-02 15:30:00,523.6487638,35.84766075,62.21075048
2019-01-02 15:45:00,523.6487638,33.13329544,19.12499634
2019-01-02 16:00:00,463.5483062,31.12574174,18.13887427
2019-01-02 16:15:00,463.5483062,29.77043491,3.648040217
2019-01-02 16:30:00,463.5483062,28.09353893,4.829799724
2019-01-02 16:45:00,463.5483062,26.12580393,14.88051602
2019-01-02 17:00:00,391.9659972,25.24128862,7.858393424
2019-01-02 17:15:00,391.9659972,25.38140313,1.757798529
2019-01-02 17:30:00,391.9659972,25.12286982,10.39138729
2019-01-02 17:45:00,391.9659972,24.54619844,74.5772353
2019-01-02 18:00:00,362.4050627,24.90139073,51.72022424
2019-01-02 18:15:00,362.4050627,25.12798226,31.43357369
2019-01-02 18:30:00,362.4050627,25.10951025,67.60853137
2019-01-02 18:45:00,362.4050627,25.42253682,14.89088964
2019-01-02 19:00:00,366.1885214,25.44740864,22.26544803
2019-01-02 19:15:00,366.1885214,25.66432808,67.41972866
2019-01-02 19:30:00,366.1885214,25.56505834,59.66178824
2019-01-02 19:45:00,366.1885214,25.38085956,8.792712318
2019-01-02 20:00:00,344.1714474,25.47331196,36.93494078
2019-01-02 20:15:00,344.1714474,25.73109725,82.86359477
2019-01-02 20:30:00,344.1714474,25.72221691,26.16538653
2019-01-02 20:45:00,344.1714474,25.91454924,45.57079383
2019-01-02 21:00:00,344.1205323,26.05551657,31.3316619
2019-01-02 21:15:00,344.1205323,25.65864704,304.3030204
2019-01-02 21:30:00,344.1205323,25.57857979,47.65084686
2019-01-02 21:45:00,344.1205323,25.68295609,290.7359008
2019-01-02 22:00:00,340.5277966,25.78162893,29.78177929
2019-01-02 22:15:00,340.5277966,25.88453123,21.54720777
2019-01-02 22:30:00,340.5277966,26.14229638,66.7963441
2019-01-02 22:45:00,340.5277966,26.86224955,18.04819897
2019-01-02 23:00:00,382.6241397,27.5608875,4.004272846
2019-01-02 23:15:00,382.6241397,28.27101349,12.92832466
2019-01-02 23:30:00,382.6241397,30.31023766,6.072394918
2019-01-02 23:45:00,382.6241397,32.97076029,17.05800364
2019-01-03 00:00:00,507.4257236,36.37180747,14.50861792
2019-01-03 00:15:00,507.4257236,38.07279528,2.241279611
2019-01-03 00:30:00,507.4257236,39.77676375,0.699438158
2019-01-03 00:45:00,507.4257236,39.95337274,30.50505784
2019-01-03 01:00:00,570.5918485,41.18422593,18.6675541
2019-01-03 01:15:00,570.5918485,40.40811814,0
2019-01-03 01:30:00,570.5918485,40.38054614,14.84363202
2019-01-03 01:45:00,570.5918485,38.9073306,3.970903905
2019-01-03 02:00:00,566.250125,39.76327796,21.57691895
2019-01-03 02:15:00,566.250125,39.32638766,38.69374748
2019-01-03 02:30:00,566.250125,39.34231574,80.96220773
2019-01-03 02:45:00,566.250125,39.16404335,15.49362177
2019-01-03 03:00:00,559.8006109,39.44324222,12.53969654
2019-01-03 03:15:00,559.8006109,37.35223676,3.297267119
2019-01-03 03:30:00,559.8006109,37.77628315,3.768305279
2019-01-03 03:45:00,559.8006109,37.66244107,14.84363202
2019-01-03 04:00:00,559.1633724,37.94283821,10.58907708
2019-01-03 04:15:00,559.1633724,38.76384891,14.91544706
2019-01-03 04:30:00,559.1633724,38.95473092,23.99685258
2019-01-03 04:45:00,559.1633724,38.88046516,4.71790563
2019-01-03 05:00:00,572.1054918,39.7781821,7.102593838
2019-01-03 05:15:00,572.1054918,42.70724695,17.34354309
2019-01-03 05:30:00,572.1054918,42.14978903,8.164661438
2019-01-03 05:45:00,572.1054918,41.47733656,13.35926882
2019-01-03 06:00:00,581.1605931,43.1315888,1.950258222
2019-01-03 06:15:00,581.1605931,44.78267571,3.742951882
2019-01-03 06:30:00,581.1605931,45.18448017,20.03890323
2019-01-03 06:45:00,581.1605931,45.87223112,8.906179213
2019-01-03 07:00:00,609.6307088,46.36397279,3.180778291
2019-01-03 07:15:00,609.6307088,48.5153279,16.38848498
2019-01-03 07:30:00,609.6307088,48.91854253,0
2019-01-03 07:45:00,609.6307088,49.37419832,20.71775951
2019-01-03 08:00:00,615.0248288,510.1101629,832.6386206
2019-01-03 08:15:00,615.0248288,515.1508192,478.909443
2019-01-03 08:30:00,615.0248288,507.9285257,668.4308068
2019-01-03 08:45:00,615.0248288,504.3372375,681.305386
2019-01-03 09:00:00,619.0453365,508.2590984,353.5687112
2019-01-03 09:15:00,619.0453365,514.672732,656.400671
2019-01-03 09:30:00,619.0453365,513.7900847,331.821864
2019-01-03 09:45:00,619.0453365,514.3746635,473.1667484
2019-01-03 10:00:00,612.4630237,516.2951081,225.123192
2019-01-03 10:15:00,612.4630237,511.4275968,706.2428357
2019-01-03 10:30:00,612.4630237,508.3815422,258.6790117
2019-01-03 10:45:00,612.4630237,510.5991119,31.65406184
2019-01-03 11:00:00,617.0343465,513.9623876,244.4782253
2019-01-03 11:15:00,617.0343465,514.3673951,177.0475368
2019-01-03 11:30:00,617.0343465,513.4910689,540.860726
2019-01-03 11:45:00,617.0343465,514.8028678,656.1613955
2019-01-03 12:00:00,609.5186566,514.3470233,517.0487202
2019-01-03 12:15:00,609.5186566,505.8812071,732.0339066
2019-01-03 12:30:00,609.5186566,512.2400434,746.3563129
2019-01-03 12:45:00,609.5186566,517.5006297,545.9744495
2019-01-03 13:00:00,597.961232,519.7598027,119.1373846
2019-01-03 13:15:00,597.961232,497.5437106,623.0076005
2019-01-03 13:30:00,597.961232,502.125071,699.6989024
2019-01-03 13:45:00,597.961232,494.8571085,115.206206
2019-01-03 14:00:00,580.6867328,494.3183447,603.0344405
2019-01-03 14:15:00,580.6867328,486.3355059,344.3411831
2019-01-03 14:30:00,580.6867328,489.5005567,649.2838947
2019-01-03 14:45:00,580.6867328,483.2817323,681.2623971
2019-01-03 15:00:00,569.8278293,490.4149404,245.9425923
2019-01-03 15:15:00,569.8278293,481.9428507,496.9826725
2019-01-03 15:30:00,569.8278293,465.3692928,375.3821005
2019-01-03 15:45:00,569.8278293,435.8151581,658.4707569
2019-01-03 16:00:00,513.5961564,404.0295628,470.6735505
2019-01-03 16:15:00,513.5961564,390.4565115,539.5191948
2019-01-03 16:30:00,513.5961564,353.1251026,740.7259355
2019-01-03 16:45:00,513.5961564,316.1603804,745.2892738
2019-01-03 17:00:00,398.7035836,300.705174,280.1669106
2019-01-03 17:15:00,398.7035836,289.7142422,735.1078794
2019-01-03 17:30:00,398.7035836,279.0219901,687.8510083
2019-01-03 17:45:00,398.7035836,271.8278172,676.6664391
2019-01-03 18:00:00,360.4070858,269.061358,104.0144596
2019-01-03 18:15:00,360.4070858,264.5697577,401.1859039
2019-01-03 18:30:00,360.4070858,262.785063,761.2354361
2019-01-03 18:45:00,360.4070858,258.6592345,626.198657
2019-01-03 19:00:00,348.0765826,258.7921928,269.3318209
2019-01-03 19:15:00,348.0765826,251.4846413,501.9847517
2019-01-03 19:30:00,348.0765826,250.22166,405.940542
2019-01-03 19:45:00,348.0765826,248.1079257,303.275486
2019-01-03 20:00:00,340.6491934,246.856475,295.079228
2019-01-03 20:15:00,340.6491934,246.0279204,645.4209806
